"Date","TotalClones","UniqueClones"
"2026-02-20","3","3"
"2026-02-21","12","4"
"2026-02-22","1","1"
"2026-02-23","1","1"
"2026-02-24","9","8"
"2026-02-25","69","27"
"2026-02-26","52","28"
"2026-02-27","32","19"
"2026-02-28","2","2"
"2026-03-01","1","1"
"2026-03-02","119","40"
"2026-03-03","141","50"
"2026-03-04","44","23"
"2026-03-05","3","3"
"2026-03-06","2","2"
"2026-03-07","0","0"
"2026-03-08","1","1"
"2026-03-09","3","3"
"2026-03-10","42","16"
"2026-03-11","4","4"
"2026-03-12","398","112"
"2026-03-13","50","23"
"2026-03-14","30","13"
"2026-03-15","1","1"
"2026-03-16","64","35"
"2026-03-17","192","65"
"2026-03-18","147","63"
2026-03-19,252,83
2026-03-20,250,73
2026-03-21,450,121
2026-03-22,35,10
2026-03-23,17,9
2026-03-24,9,6
2026-03-25,11,8
2026-03-26,45,35
2026-03-27,75,47
2026-03-28,16,13
2026-03-29,18,14
2026-03-30,7,4
2026-03-31,380,114
2026-04-01,423,147
2026-04-02,20,6
2026-04-03,8,5
2026-04-04,12,8
2026-04-05,261,62
2026-04-06,78,28
2026-04-07,22,5
2026-04-08,58,25
2026-04-09,30,13
2026-04-10,26,12
2026-04-11,705,175
2026-04-12,31,15
2026-04-13,150,47
2026-04-14,320,105
2026-04-15,476,124
2026-04-16,154,50
2026-04-17,28,14
2026-04-18,28,15
2026-04-19,35,20
2026-04-20,36,21
2026-04-21,28,13
2026-04-22,414,106
2026-04-23,265,90
2026-04-24,107,46
2026-04-25,136,75
2026-04-26,36,15
2026-04-27,26,9
2026-04-28,43,18
2026-04-29,58,20
2026-04-30,181,57
2026-05-01,326,71
2026-05-02,47,21
2026-05-03,32,15
2026-05-04,59,28
2026-05-05,48,17
2026-05-06,66,29
2026-05-07,41,13
2026-05-08,238,60
2026-05-09,137,42
2026-05-10,38,20
2026-05-11,33,14
2026-05-12,19,8
2026-05-13,46,18
2026-05-14,64,30
2026-05-15,32,13
2026-05-16,58,17
2026-05-17,25,10
2026-05-18,37,17
2026-05-19,32,17
2026-05-20,40,15
2026-05-21,302,82
2026-05-22,42,18
2026-05-23,58,28
2026-05-24,36,18
2026-05-25,180,62
2026-05-26,73,29
2026-05-27,27,14
2026-05-28,16,5
2026-05-29,36,12
2026-05-30,33,17
2026-05-31,24,11
2026-06-01,26,13
2026-06-02,16,8
2026-06-03,14,5
2026-06-04,30,14
2026-06-05,68,43
2026-06-06,19,9
2026-06-07,29,12
2026-06-08,30,15
2026-06-09,16,7
2026-06-10,28,12
2026-06-11,28,12
2026-06-12,21,10
2026-06-13,32,13
2026-06-14,54,18
2026-06-15,41,17
2026-06-16,18,7
2026-06-17,24,10
2026-06-18,31,11
2026-06-19,99,27
2026-06-20,73,21
2026-06-21,86,26
2026-06-22,67,20
2026-06-23,101,27
2026-06-24,87,24
2026-06-25,108,29
2026-06-26,15,4
2026-06-27,26,12
2026-06-28,19,7
2026-06-29,40,13
2026-06-30,20,9
2026-07-01,17,5
2026-07-02,8,1
2026-07-03,26,12
2026-07-04,12,5
2026-07-05,23,9
2026-07-06,16,7
2026-07-07,18,6
2026-07-08,20,10
2026-07-09,10,3
2026-07-10,8,3
2026-07-11,25,10
2026-07-12,7,2
2026-07-13,14,5
2026-07-14,5,2
2026-07-15,5,2
2026-07-16,8,3
2026-07-17,4,1
2026-07-18,5,2
2026-07-19,4,1
2026-07-20,12,8
2026-07-21,11,8
2026-07-22,4,1
2026-07-23,10,2
2026-07-24,8,3
2026-07-25,23,11
2026-07-26,13,5
2026-07-27,16,7
2026-07-28,6,1
2026-07-29,8,3
2026-07-30,15,5
2026-07-31,15,3
2026-08-01,11,3
2026-08-02,86,24
2026-08-03,228,41
2026-08-04,394,81
2026-08-05,35,14
2026-08-06,28,10
2026-08-07,14,4
2026-08-08,14,4
2026-08-09,10,1
2026-08-10,84,65
2026-08-11,10,1
2026-08-12,26,10
2026-08-13,26,8
2026-08-14,12,3
2026-08-15,23,3
2026-08-16,11,2
2026-08-17,20,6
