TagName,PublishedDate
"v2.1.1","2026-04-15"
"v2.1.0","2026-04-14"
"v2.0.0","2026-04-11"
"v1.14.0","2026-04-01"
"v1.13.0","2026-03-31"
"v1.12.5","2026-03-31"
"v1.12.4","2026-03-21"
"v1.12.3","2026-03-21"
"v1.12.2","2026-03-20"
"v1.12.1","2026-03-19"
"v1.12.0","2026-03-18"
"v1.11.3","2026-03-17"
"v1.11.2","2026-03-12"
"v1.11.1","2026-03-12"
"v1.11.0","2026-03-17"
"v1.10.4","2026-03-04"
"v1.10.3","2026-03-04"
"v1.10.2","2026-03-03"
"v1.10.1","2026-03-03"
"v1.10.0","2026-03-02"
"v1.8.1","2026-02-25"
"v1.8.0","2026-02-25"
"v1.7.0","2026-02-10"
"v1.6.0","2026-02-06"
"v1.5.1","2026-02-04"
"v1.5.0","2026-02-04"
"v1.4.0","2026-01-27"
"v1.3.0","2026-01-27"
"v1.2.0","2026-01-27"
"v1.1.1","2026-01-27"
"v1.1.0","2026-01-23"
"v1.0.0","2026-01-22"
