"Date","TotalViews","UniqueViews"
"2026-02-20","25","16"
"2026-02-21","3","1"
"2026-02-22","1","1"
"2026-02-23","25","10"
"2026-02-24","24","10"
"2026-02-25","31","6"
"2026-02-26","39","13"
"2026-02-27","9","7"
"2026-02-28","7","5"
"2026-03-01","3","3"
"2026-03-02","14","7"
"2026-03-03","36","14"
"2026-03-04","36","16"
"2026-03-05","10","9"
"2026-03-06","45","27"
"2026-03-07","6","6"
"2026-03-08","1","1"
"2026-03-09","10","10"
"2026-03-10","43","18"
"2026-03-11","44","22"
"2026-03-12","68","11"
"2026-03-13","70","23"
"2026-03-14","21","4"
"2026-03-15","7","4"
"2026-03-16","20","12"
"2026-03-17","73","14"
"2026-03-18","41","9"
2026-03-19,99,6
2026-03-20,92,15
2026-03-21,63,2
2026-03-22,17,1
2026-03-23,16,4
2026-03-24,9,4
2026-03-25,13,6
2026-03-26,99,18
2026-03-27,146,52
2026-03-28,2,2
2026-03-29,4,4
2026-03-30,19,10
2026-03-31,71,10
2026-04-01,210,35
2026-04-02,23,14
2026-04-03,32,14
2026-04-04,13,6
2026-04-05,42,5
2026-04-06,104,52
2026-04-07,45,24
2026-04-08,69,34
2026-04-09,42,26
2026-04-10,52,16
2026-04-11,85,4
2026-04-12,1,1
2026-04-13,42,19
2026-04-14,59,13
2026-04-15,104,21
2026-04-16,54,27
2026-04-17,42,19
2026-04-18,0,0
2026-04-19,3,2
2026-04-20,30,18
2026-04-21,20,15
2026-04-22,66,18
2026-04-23,31,14
2026-04-24,30,9
2026-04-25,13,2
2026-04-26,6,3
2026-04-27,10,9
2026-04-28,9,6
2026-04-29,10,8
2026-04-30,56,8
2026-05-01,41,12
2026-05-02,4,1
2026-05-03,7,2
2026-05-04,6,5
2026-05-05,29,16
2026-05-06,19,9
2026-05-07,26,16
2026-05-08,24,12
2026-05-09,15,1
2026-05-10,10,2
2026-05-11,17,8
2026-05-12,12,7
2026-05-13,11,7
2026-05-14,58,17
2026-05-15,46,14
2026-05-16,6,4
2026-05-17,2,1
2026-05-18,4,3
2026-05-19,17,11
2026-05-20,20,9
2026-05-21,42,7
2026-05-22,15,7
2026-05-23,1,1
2026-05-24,2,2
2026-05-25,20,3
2026-05-26,18,3
2026-05-27,13,8
2026-05-28,2,2
2026-05-29,4,4
2026-05-30,0,0
2026-05-31,0,0
2026-06-01,3,2
2026-06-02,1,1
2026-06-03,5,4
2026-06-04,36,7
2026-06-05,34,6
2026-06-06,8,2
2026-06-07,0,0
2026-06-08,12,7
2026-06-09,6,3
2026-06-10,8,4
2026-06-11,7,5
2026-06-12,17,10
2026-06-13,1,1
2026-06-14,2,2
2026-06-15,15,10
2026-06-16,4,4
2026-06-17,5,5
2026-06-18,6,5
2026-06-19,5,5
2026-06-20,3,2
2026-06-21,0,0
2026-06-22,18,4
2026-06-23,11,6
2026-06-24,14,6
2026-06-25,3,3
2026-06-26,9,7
2026-06-27,1,1
2026-06-28,0,0
2026-06-29,4,4
2026-06-30,16,7
2026-07-01,11,5
2026-07-02,3,3
2026-07-03,0,0
2026-07-04,0,0
2026-07-05,0,0
2026-07-06,2,2
2026-07-07,3,3
2026-07-08,15,10
2026-07-09,6,4
2026-07-10,12,5
2026-07-11,1,1
2026-07-12,0,0
2026-07-13,2,2
2026-07-14,6,5
2026-07-15,3,3
2026-07-16,5,5
2026-07-17,2,2
2026-07-18,0,0
2026-07-19,7,1
2026-07-20,5,5
2026-07-21,10,7
2026-07-22,6,3
2026-07-23,22,2
